date,Average temperature (Åé),Weather overview (daytime: 06:00-18:00),Weather overview (night: 18:00 to 06:00 the next day),Average vapor pressure (hPa),Average humidity (%),Average local pressure (hPa),Mean Sea Level Pressure (hPa),Minimum sea level pressure (hPa),Minimum relative humidity (%),Sunlight hours (hours),Total global solar radiation (MJ/áu),Total precipitation (mm),Maximum 10 minute precipitation (mm),Maximum temperature (ÅãC),Minimum temperature (ÅãC),Deepest snow cover (cm),Total snowfall (cm),Average wind speed (m/s),Maximum wind speed (m/s),Maximum wind speed (m/s),Maximum instantaneous wind speed (m/s),Maximum instantaneous wind speed (m/s),Maximum number of wind directions (16 directions)
,,,,,,,,,,,,,,,,,,,,wind direction,,wind direction,
,,,,,,,,,,,,,,,,,,,,,,,
2022/6/27,20.3,"Partly cloudy, then sunny",Sunny then cloudy with occasional rain,20.3,85,1003.3,1008.4,1006.7,68,5.1,18.95,5.5,3.5,24.9,16.8,0,0,3.2,6.9,northwest,9.2,West,West
2022/6/28,19,heavy rain,rain,21.2,96,1002,1007.2,1002.7,88,0,3.52,49,4,21.8,15.4,0,0,2.1,5.2,west southwest,8.1,west southwest,east southeast
2022/6/29,20.8,Partly cloudy after rain,rainy and sometimes cloudy,23.2,95,998.2,1003.3,1000.5,82,0,4.33,32,4,22.9,18.8,0,0,3.8,8.8,West,13.1,West,west southwest
2022/6/30,19.3,Cloudy with occasional rain,rainy and sometimes cloudy,21.1,94,1005.4,1010.5,1004.7,83,0,8.52,1,0.5,21.4,17.6,0,0,2.1,5.3,east southeast,7,south southeast,south southeast
2022/7/1,18.3,Cloudy with occasional rain,rainy and sometimes cloudy,20,96,1010.3,1015.5,1014,84,0,5.5,6,1.5,20.2,17,0,0,2,4.9,east,7.1,east,east southeast
2022/7/2,20.7,Cloudy with occasional rain,Partially cloudy,22.4,92,1008.6,1013.7,1012.1,81,0,7.07,0,0,23.4,17.7,0,0,1.9,4.1,west northwest,6.1,northwest,west northwest
2022/7/3,24,Partially cloudy,Partially cloudy,23.2,79,1004.7,1009.7,1007.7,60,9.1,22.88,0,0,29.8,18.3,0,0,2.8,6.5,west northwest,10.5,west northwest,west northwest
2022/7/4,23.1,partly cloudy,partly cloudy,23.9,85,1003.1,1008.1,1007,73,4.4,15.67,0,0,27.3,19,0,0,2.2,5.2,South-southwest,9.2,southwest,east southeast
2022/7/5,23.9,Partly cloudy with thunder,Partly cloudy with thunder,25.6,87,1003.9,1009,1007.7,68,5.1,20.77,0,0,28.1,20.4,0,0,2,5.5,south southeast,7.8,south southeast,southeast
2022/7/6,22.5,partly cloudy,partly cloudy,22.6,84,1007.2,1012.3,1009.7,70,6.4,22.06,0,0,25.7,19.6,0,0,4.2,7.2,east southeast,11,southeast,east southeast
2022/7/7,20.1,Cloudy with occasional rain,"Partly cloudy, then rain",20.6,88,1009.3,1014.4,1013.6,79,0,7.01,0,0,21.9,18.5,0,0,4.6,7,east,9.9,east southeast,east southeast
2022/7/8,20.4,Cloudy with occasional rain,"Partly cloudy, then occasional rain",20.8,87,1006.5,1011.6,1010.2,67,2.3,14.95,0,0,26.4,18.3,0,0,4.5,8.1,east,11.2,east,east southeast
2022/7/9,20,Cloudy with occasional rain,rainy and sometimes cloudy,20.8,89,1003.4,1008.5,1006.6,77,0,7.39,1.5,0.5,23.1,17.9,0,0,4.2,8.3,east southeast,11.7,east southeast,east southeast
2022/7/10,22.9,Cloudy then sunny with a shower,Cloudy with occasional rain,22.6,82,1001.6,1006.6,1005.2,65,4,18.39,0,0,27,19.5,0,0,2.1,5.5,south southeast,7.9,south southeast,South
2022/7/11,24.4,fine weather,Cloudy,24,79,1004.5,1009.5,1008.2,57,12.4,27.85,0,0,30.6,19.7,0,0,3.6,9.7,east southeast,13.5,east southeast,east
2022/7/12,23.1,"Partly cloudy, partly rainy, partly sunny",rain,24.3,86,1004.8,1009.9,1008.7,72,2.1,16.99,2,0.5,27.2,20.2,0,0,5.5,8.8,east southeast,14,east southeast,east
2022/7/13,20.9,Partly cloudy after rain,Cloudy with occasional rain,21.4,87,1004.9,1010,1009,64,0.3,10.01,9,0.5,23.7,19.5,0,0,4.2,6.5,east,9.2,east southeast,east southeast
2022/7/14,21.1,Partly sunny after cloudy,Cloudy with occasional rain,19.8,79,1003,1008.1,1006.6,61,3.5,17.02,0,0,24.9,18.4,0,0,5.4,8.9,east southeast,12.1,east southeast,east southeast
2022/7/15,19,rainy and sometimes cloudy,rainy and sometimes cloudy,20.3,92,1000.9,1006,1004.9,80,0,3.54,3.5,1,20.3,18.2,0,0,7.1,9.3,east southeast,16,east southeast,east southeast
2022/7/16,18.6,rainy and sometimes cloudy,Cloudy with occasional rain,19.7,92,1002.5,1007.6,1006,83,0,4.46,7.5,1,19.2,18.2,0,0,7.2,9.5,east,14.9,east,east southeast
2022/7/17,19.7,rainy and sometimes cloudy,Partly cloudy and foggy,20.9,91,997,1002.1,1000.2,75,0,4.31,14,1.5,21.6,18.1,0,0,1.9,5.8,east,10,east,West
2022/7/18,21.4,Partly sunny after cloudy,Partially cloudy,21.5,85,997.6,1002.7,1000.9,67,1.4,13.57,0,0,25.1,17.3,0,0,2.1,4.8,northwest,7.6,West,northwest
2022/7/19,22.2,"Partly cloudy, then occasional rain",Partly cloudy with thunder,23.1,86,997.7,1002.7,1000.3,66,1.8,14.81,2,1,28,18.6,0,0,3.1,6.3,east,9.6,east,east
2022/7/20,21.2,"Cloudy after rain, sometimes sunny",Cloudy,23,91,998.3,1003.4,999.5,79,0.7,9.34,9.5,2,23.7,19.5,0,0,1.8,7.7,east southeast,11.3,east southeast,east southeast
2022/7/21,23,fine weather,partly cloudy,23.6,85,1000,1005.1,1004.1,69,10.8,25.69,0,0,26.5,19.6,0,0,2.3,4.7,south southeast,7.4,southeast,south southeast
2022/7/22,21.5,rainy and sometimes cloudy,rainy and sometimes cloudy,22.7,89,999,1004.1,1002.3,77,0,6.66,1,0.5,24.2,20,0,0,2.7,5.8,east northeast,8.9,east northeast,east
2022/7/23,21.3,rainy and sometimes cloudy,Cloudy with occasional rain,22.4,88,997.8,1002.9,1001.2,79,0,5.85,1.5,0.5,23.1,20.1,0,0,1.9,5,east northeast,10.1,east northeast,west northwest
2022/7/24,21.6,Partly rain after cloudy,partly cloudy,21,82,1002.4,1007.4,1004.8,67,1.6,12.63,0,0,24.6,18.3,0,0,2.7,5.8,west southwest,8.3,west southwest,west northwest
2022/7/25,22.2,partly cloudy,partly cloudy,21.9,82,1005.8,1010.8,1009.7,64,8.3,23.62,0,0,26.2,17.5,0,0,1.7,5.1,south southeast,7.8,south southeast,south southeast
2022/7/26,23.6,partly cloudy,partly cloudy,23.2,80,1006.1,1011.1,1010.2,65,10.5,24.93,0,0,27.3,20.7,0,0,1.8,4,south southeast,5.9,south southeast,South
2022/7/27,23.2,"Partly cloudy, then sunny",Partly sunny with some rain and fog,24.6,87,1007.1,1012.2,1011.1,72,6.9,18.55,0,0,26.8,21.4,0,0,1.8,4.1,south southeast,5.7,South-southwest,south southeast
2022/7/28,24.1,fine weather,Partly cloudy after clear skies,23.5,80,1009.6,1014.6,1012.8,58,12.3,25.69,0,0,28.7,19.9,0,0,1.9,3.9,south southeast,6,southeast,south southeast
2022/7/29,24.1,fine weather,Partially cloudy,23.7,80,1011.5,1016.5,1015.3,62,12.2,25.52,0,0,29,19.6,0,0,1.7,3.9,south southeast,5.9,west southwest,south southeast
2022/7/30,24.5,fine weather,Sunny then sometimes cloudy,24.7,81,1009.1,1014.2,1012.2,65,13.5,27.11,0,0,29.2,20.8,0,0,2.2,4.8,northwest,6.6,southwest,south southeast
2022/7/31,25.8,"Partly cloudy, partly rainy, partly sunny",rainy and sometimes cloudy,26.1,79,1006.8,1011.8,1010.6,61,3.2,14.55,0,0,30.7,21.5,0,0,4,9.6,West,14,West,west northwest
2022/8/1,22.1,heavy rain,rainy and sometimes cloudy,25.7,96,1007.5,1012.6,1009.3,86,0,2.86,67,4,25.1,20.9,0,0,3.2,6.8,east southeast,10.8,east southeast,east southeast
2022/8/2,25.4,Partly cloudy with occasional rain,Cloudy with occasional rain,26.5,82,1003.8,1008.8,1006.5,65,9.5,24.91,7,3,29.3,21.8,0,0,4.4,9.9,west northwest,13.7,west northwest,West
2022/8/3,21.2,Cloudy with occasional rain,Cloudy with occasional rain,22.4,89,1004.6,1009.7,1008.4,76,0,8.33,13,2,23.8,19.6,0,0,4.3,6.5,east,10.4,east,east southeast
2022/8/4,20.9,"Partly cloudy, then sunny",Cloudy with occasional rain,19.4,79,1006.2,1011.3,1010.3,62,1.3,12.28,0,0,24.6,19.1,0,0,4.3,7.1,east southeast,10.1,southeast,east
2022/8/5,20.3,"Partly cloudy, then partly sunny",partly cloudy,18.5,78,1005.6,1010.7,1009.8,60,3.2,12.3,0,0,24.1,19,0,0,4.8,7.4,east southeast,10.7,east southeast,east
2022/8/6,21.4,Cloudy,Cloudy with occasional rain,19.7,78,1006,1011,1010.2,65,2.9,15.36,0,0,24.6,19,0,0,4.5,6.7,east southeast,9.7,east southeast,east
2022/8/7,22.8,Cloudy with occasional rain,Cloudy with occasional rain,23.8,86,1005.7,1010.7,1009.3,70,2.6,13.37,6.5,3.5,27.2,20.7,0,0,3.4,5.9,east,8.7,east,east
2022/8/8,25.4,Cloudy with occasional rain,Heavy rain Occasionally cloudy with thunder,29.1,90,1001.5,1006.5,1003.1,73,1.6,10.7,104.5,19.5,30,21.5,0,0,4.4,10.6,southwest,20,southwest,southwest
2022/8/9,24.1,rainy and sometimes cloudy,rainy and sometimes cloudy,27.9,93,999.2,1004.2,1002.1,85,0,4.71,10,2,26,22.1,0,0,2.5,8.1,West,12,southwest,southwest
2022/8/10,21.8,rain,"Rain, partly cloudy, partly sunny",25.2,96,1001.5,1006.6,1004.9,85,0,3.58,20.5,3,22.5,21.1,0,0,1.7,4.4,east southeast,6.1,southwest,southeast
2022/8/11,22.8,"Partly cloudy, then rain","Occasionally cloudy after heavy rain, accompanied by thunder",25.9,93,1001.7,1006.8,1003.7,76,0.2,8.27,66,7.5,25.7,21.3,0,0,1.9,5.8,West,9.4,West,east
2022/8/12,24.6,"Partly cloudy, then sunny",fine weather,26.9,88,999.4,1004.3,1001.7,67,6.8,17.75,15.5,3,28.6,21.6,0,0,2,4.8,south southeast,6.6,South,south southeast
2022/8/13,24.5,Partly cloudy with occasional rain,Cloudy with occasional rain,23.6,77,1001.9,1006.9,1006.1,57,10.4,23.02,0,0,29,20.6,0,0,2.4,6.3,west southwest,9.3,west southwest,north northeast
2022/8/14,23.4,"Partly cloudy, then sunny",Cloudy,21.3,75,1001.1,1006.1,1004.6,54,7.1,18.77,0.5,0.5,28.1,19.8,0,0,2.6,5.6,West,8.5,west northwest,north northeast
2022/8/15,22.4,Cloudy with occasional rain,rain,22.6,84,999.5,1004.5,997.6,64,1.5,11.09,10,1.5,26.2,19.5,0,0,2.6,9.2,east southeast,14.1,southeast,east southeast
2022/8/16,24.2,"Heavy rain, sometimes cloudy",partly cloudy,27,89,990.2,995.1,991,78,0.4,6.03,53.5,8.5,27.3,21.7,0,0,5.5,11.4,southwest,18.5,west southwest,southwest
2022/8/17,23.7,fine weather,partly cloudy,20.9,72,1003.6,1008.7,1002,46,12.5,25.6,0,0,28.6,19.7,0,0,3.1,6.1,northwest,9.2,east southeast,west northwest
2022/8/18,20,rainy and sometimes cloudy,"Rain, sometimes cloudy, then clear",19.8,85,1000.5,1005.6,1002.3,67,0,3.1,25,1.5,22.5,17.7,0,0,3.9,7.8,east,12.8,east,east
2022/8/19,22.6,fine weather,Cloudy with occasional rain,20,74,997.6,1002.7,1001.7,53,11.8,24.29,0,0,28.3,16.1,0,0,3.9,9.3,West,13.6,west northwest,west northwest
2022/8/20,22.5,Partly cloudy after rain,fine weather,24.2,89,994.4,999.4,996.9,74,0.6,4.61,10,1,25.7,20.6,0,0,2.3,5.7,West,8.7,West,West
2022/8/21,22.5,fine weather,fine weather,19.6,73,1000.7,1005.7,1001.3,46,13.1,24.94,0,0,28.6,15.3,0,0,2.4,6.2,southwest,8.8,west southwest,north northeast
2022/8/22,23.1,partly cloudy,Cloudy with occasional rain,19.9,71,1003.2,1008.2,1004.1,43,8.2,19.27,0,0,29,16.6,0,0,3.8,7.4,east,11.2,east,east
2022/8/23,23.8,Cloudy with occasional rain,fine weather,23.6,80,996.6,1001.6,999,60,0.6,5.34,2.5,1.5,28.1,17.9,0,0,3.5,7.1,West,9.9,West,West
2022/8/24,21.3,fine weather,Partly cloudy after clear skies,16.5,68,1002.1,1007.2,1003.9,34,12.8,24.69,0,0,26.8,16.5,0,0,4.1,9.3,west northwest,14.5,west northwest,West
2022/8/25,21,Sunny then sometimes cloudy,Cloudy with occasional rain,18.1,73,1002.3,1007.4,1005.8,51,10.2,23.13,0,0,25.8,14,0,0,2.7,5.3,southeast,8.1,south southeast,south southeast
2022/8/26,21.4,Cloudy then sunny with a shower,"Partly sunny, then cloudy",19.7,78,1002.1,1007.2,1005.5,49,3.7,8.95,0,0,25.5,18.3,0,0,1.6,3.6,northeast,5,southeast,north northeast
2022/8/27,22.7,Cloudy with occasional rain,rainy and sometimes cloudy,23.4,85,1001.5,1006.5,1004.8,74,0,5.61,1,0.5,25.2,19.6,0,0,3.4,6.7,east southeast,10.3,east southeast,east southeast
2022/8/28,20.6,"Partly cloudy, partly rainy, partly sunny",Partly cloudy with occasional rain,17.8,74,1006.7,1011.9,1007,46,3.7,13.29,0,0,24,16,0,0,3.2,7.5,West,11.2,west southwest,west southwest
2022/8/29,20,partly cloudy,partly cloudy rain,16.6,72,1013.9,1019,1016.4,45,5.8,16.13,0,0,25,14.2,0,0,2.2,4.6,east northeast,6.4,east northeast,east
2022/8/30,21.4,Cloudy with occasional rain,rain,20.9,82,1010,1015.1,1013.4,66,0.4,8.59,4,1,24.8,19.1,0,0,1.9,4.6,east,7.4,east,east northeast
2022/8/31,20.1,heavy rain,Cloudy with occasional rain,22.4,95,1003.4,1008.5,1001.9,80,0,1.99,65,2.5,23.1,17.8,0,0,2.9,6.7,east southeast,10.8,northeast,east
2022/9/1,22.7,Partly sunny after cloudy,Partly sunny after cloudy,22.3,82,1004.5,1009.6,1006,62,3.6,15.67,0,0,27.4,19.2,0,0,2.5,5.3,southwest,7.4,South-southwest,West
2022/9/2,19.9,partly cloudy rain,Partly sunny after cloudy,16.3,71,1012,1017.2,1013.3,41,5.9,16.68,0,0,24.1,14.7,0,0,3.4,7.6,West,9.7,west northwest,west northwest
2022/9/3,18.1,Cloudy,Cloudy,15.6,76,1013.9,1019.1,1017.8,58,1.7,11.53,0,0,22.6,13.7,0,0,1.8,4,South,6.1,south southeast,north northeast
2022/9/4,21.3,fine weather,partly cloudy,19.5,78,1013.1,1018.2,1016.9,55,10.3,21.09,0,0,27.1,16.3,0,0,3.5,6.8,east southeast,9.7,east southeast,east southeast
2022/9/5,21.8,Cloudy with occasional rain,partly cloudy,21.8,84,1010.6,1015.7,1013.8,73,0.4,8.36,0,0,24.4,19.8,0,0,4.5,8.1,east southeast,11,east,east
2022/9/6,24.2,partly cloudy,Cloudy with occasional rain,24.8,82,1003.1,1008.1,1003.2,70,8.4,17.74,0.5,0.5,27.7,20,0,0,6,11.4,South-southwest,19.8,southwest,east southeast
2022/9/7,23.5,fine weather,fine weather,17.8,62,1008.5,1013.6,1006.4,41,11.8,22.2,0,0,27.1,18.6,0,0,4.4,8.9,southwest,15.3,west southwest,West
2022/9/8,20,Partly cloudy after clear skies,Partly sunny after cloudy,16,69,1013,1018.2,1017.1,48,9.1,21.85,0,0,24.9,13.8,0,0,1.9,4.4,south southeast,6.8,west southwest,North
2022/9/9,20.8,fine weather,fine weather,16.7,70,1011.4,1016.5,1014.9,43,12.1,21.93,0,0,26.9,14.8,0,0,1.7,3.3,south southeast,5.7,south southeast,north northwest
2022/9/10,20.4,fine weather,fine weather,16,69,1015.1,1020.2,1018.1,25,12.2,22.11,0,0,26.7,15.5,0,0,3.3,7.6,southeast,11.4,southeast,east
2022/9/11,20.9,Sunny then sometimes cloudy,partly cloudy,18.8,76,1014,1019.1,1017.7,59,7.2,17.82,0,0,24.7,18.1,0,0,4.7,8.3,southeast,12.6,southeast,east southeast
2022/9/12,22.7,Partly sunny after cloudy,Partly rain after cloudy,21.9,80,1011.6,1016.7,1015.5,62,6.9,16.65,0,0,26.9,19.8,0,0,4.3,7.4,southeast,10.9,southeast,east southeast
2022/9/13,23.1,"Partly cloudy, then sunny",fine weather,21.4,76,1009.9,1015,1013.3,56,8,17.05,0,0,28,18.2,0,0,2.8,6.9,West,10.5,west northwest,northwest
2022/9/14,19.1,fine weather,clear after cloudy,14.3,66,1013.8,1019,1016.2,46,11.6,20.94,0,0,23,14.6,0,0,4.2,8,northwest,13.2,north northeast,northwest
2022/9/15,18.5,Partially cloudy,Cloudy,16,76,1011.2,1016.3,1014.5,56,8,18.2,0,0,23.3,13,0,0,1.7,3.9,south southeast,5.8,south southeast,north northeast
2022/9/16,20.4,Cloudy with occasional rain,Cloudy with occasional rain,18.3,76,1010.2,1015.3,1014.3,65,0.1,7.68,0,0,23.8,16.5,0,0,3.3,7.3,east southeast,11.2,east,east
2022/9/17,23.2,partly cloudy,Cloudy,22.3,79,1008.9,1014,1012.4,60,7.4,15.74,0,0,27.7,19.3,0,0,1.7,3.3,south southeast,5.8,east northeast,northwest
2022/9/18,22.1,rainy and sometimes cloudy,Partly cloudy after rain,24,91,1006.3,1011.4,1007.8,71,0,4.68,15,1,25.4,19.8,0,0,1.5,3.1,south southeast,5.2,west northwest,north northeast
2022/9/19,21.4,Partly rain after cloudy,"Heavy rain, sometimes cloudy",23.1,90,995.7,1000.7,994.1,78,0,4.49,4.5,4,24.8,16.7,0,0,2.3,7,northwest,13.1,west northwest,northwest
2022/9/20,15,"Partly cloudy, then sunny",Sunny then sometimes cloudy,11.6,68,998.7,1003.8,993.7,42,6.9,16.09,38,4,19,9.1,0,0,5.3,9.7,northwest,16.2,northwest,northwest
2022/9/21,13.4,Partially cloudy,fine weather,10.3,69,1012.3,1017.6,1012.9,41,7.8,16.17,0,0,20.1,8.5,0,0,2.4,7,west northwest,11.4,West,north northeast
2022/9/22,17.1,"Partly sunny, partly rainy, partly cloudy",Cloudy with occasional rain,14.2,73,1017.2,1022.5,1020.4,47,10.1,19.51,0,0,22.6,8.7,0,0,5.4,10.4,east southeast,15.2,southeast,east southeast
2022/9/23,20.1,Partly cloudy after heavy rain,Cloudy with occasional rain,22,94,1009.5,1014.7,1009.2,82,0,3.33,37.5,4.5,22.3,18.9,0,0,2.7,6.7,east southeast,10.5,southeast,east southeast
2022/9/24,20.2,"Cloudy after rain, sometimes sunny","Partly cloudy, then sunny",18.8,79,1004.2,1009.3,1006.5,51,3.7,9.31,5,1,23,16,0,0,3.8,7.9,West,11.8,west northwest,west northwest
2022/9/25,18.3,"Partly sunny, partly rainy, partly cloudy",Cloudy,14.4,70,1010.8,1016,1013,45,10.3,17.72,0,0,23.7,13.3,0,0,2.7,7.2,west northwest,10.9,West,west northwest
2022/9/26,18.2,partly cloudy,Sunny then sometimes cloudy,14.8,73,1011.7,1016.9,1015.7,37,9.6,18.48,0,0,24.3,13.7,0,0,2.6,6.3,west northwest,9.2,southwest,north northeast
2022/9/27,17.8,Partially cloudy,Cloudy,14.3,71,1011.6,1016.8,1015.7,49,9.4,16.7,0,0,24.1,11.6,0,0,2.1,6.5,northwest,9.6,west northwest,north northeast
2022/9/28,18.5,clear after cloudy,fine weather,16.2,76,1007.5,1012.7,1010.2,54,6.2,13.22,0,0,24,14.7,0,0,2.1,4.8,south southeast,8.2,South-southwest,east southeast
2022/9/29,19.1,Sunny then cloudy with occasional rain,Partially cloudy,17.3,79,1006.9,1012,1009.7,59,4.9,12.37,0,0,24,14.2,0,0,3.1,6.8,west northwest,10.3,northwest,west northwest
2022/9/30,20,fine weather,Partly cloudy after clear skies,19.1,82,1011.1,1016.2,1015.1,65,8.4,15.77,0,0,24.8,15.6,0,0,2.4,5.1,west southwest,8.4,southwest,north northeast
2022/10/1,20,fine weather,fine weather,18.3,79,1011.9,1017.1,1015.5,55,10.8,17.32,0,0,25.8,15.6,0,0,2.1,4,southwest,6.4,West,west southwest
2022/10/2,19.6,fine weather,partly cloudy,18.5,82,1016.8,1022,1018.8,62,9.6,16.39,0,0,24.2,14.9,0,0,3.4,7.3,east southeast,11.5,east southeast,east southeast
2022/10/3,20.2,"Partly cloudy, partly rainy, partly sunny",rainy and sometimes cloudy,19.1,81,1014,1019.2,1012.5,70,1,8.29,0,0,22.9,17.5,0,0,3.5,6.9,east southeast,9.3,southeast,east southeast
2022/10/4,17.9,heavy rain,"Partly cloudy, then sunny",18.6,89,1000.5,1005.7,1001.1,70,0,1.27,65,3.5,22.1,12.1,0,0,4.9,13.9,southwest,23.3,west southwest,northwest
2022/10/5,10.3,Cloudy then sunny with occasional rain,Sunny then cloudy with occasional rain,8.7,70,1011.4,1016.7,1009.5,50,4,9.91,0,0,13.4,5.9,0,0,3.2,7.3,West,9.7,West,west northwest
2022/10/6,9.6,partly cloudy,partly cloudy,7.3,63,1016.7,1022,1020.1,33,7,13.87,0,0,15.3,5.1,0,0,2.6,8.5,West,11.7,west northwest,north northwest
2022/10/7,9.8,Partly rain after cloudy,cloudy after rain,8.6,72,1016,1021.4,1019,46,0.2,7.26,0.5,0.5,14.6,4.8,0,0,2.1,4.7,east,7.6,North,east northeast
2022/10/8,12.5,Partially cloudy,Partly cloudy after clear skies,8.9,63,1016.7,1022.1,1018.4,41,8.7,15.99,0,0,17.4,8.2,0,0,2.9,8.6,northwest,11.3,northwest,northwest
2022/10/9,13.8,Sunny then cloudy with occasional rain,Cloudy with occasional rain,11.3,72,1021.4,1026.8,1021.9,49,4.5,10.23,0,0,17.9,6.9,0,0,4.1,8.7,east southeast,15.5,east southeast,east
2022/10/10,16.6,heavy rain,Partly cloudy after rain,17.8,94,1004.1,1009.3,1003.2,76,0,1.4,51.5,2,18.3,14.5,0,0,5.9,13.6,east southeast,22,east southeast,east southeast
2022/10/11,15.4,"Rain, partly cloudy, partly clear, accompanied by thunder",Cloudy with occasional rain then clear,13.1,75,1002.9,1008.1,1003.9,51,4.9,11.5,10.5,4,18.9,13.5,0,0,5,11.8,west southwest,24.1,South-southwest,West
2022/10/12,12.8,fine weather,fine weather,9.2,64,1018.8,1024.2,1016.6,42,10.1,15.22,0,0,18,7,0,0,3.8,8,west northwest,13.7,West,west northwest
2022/10/13,11.9,fine weather,Sunny then sometimes cloudy,10.2,74,1022.7,1028.1,1024.5,49,10.5,15.9,0,0,17.8,5.5,0,0,2,5,southeast,7.9,south southeast,east northeast
2022/10/14,14.4,fine weather,Cloudy,12.6,78,1016.7,1021.9,1019.2,55,8.2,14.31,0,0,19.9,9.2,0,0,2.9,6,east southeast,8.8,south southeast,northeast
2022/10/15,17.3,"Partly cloudy, then clear with thunder",fine weather,15.4,79,1013.7,1019,1017.5,58,5.2,12.17,0,0,21.8,13,0,0,3.5,6.2,south southeast,8.9,southeast,east southeast
2022/10/16,16.4,Sunny then sometimes cloudy,Cloudy,15.1,82,1013.4,1018.6,1013.3,62,5.5,12.08,0,0,20.6,12,0,0,2.3,4.4,east southeast,7,east southeast,east
2022/10/17,14.1,Cloudy with occasional rain,Sunny and then a little rain,12.6,77,1003.8,1009,1004.8,48,3.9,8.83,4,3.5,20.3,6,0,0,3.3,8.3,West,17.7,West,west northwest
2022/10/18,8.7,Sunny then sometimes cloudy,Partly cloudy with occasional rain,6.9,63,1008.4,1013.8,1010.3,38,5.6,10.89,0,0,13.2,4.9,0,0,3.9,10.6,West),16.6,West),west northwest
2022/10/19,8.8,partly cloudy,fine weather,7.5,70,1013.5,1018.8,1016.8,37,9.6,15.05,0,0,14.6,3.7,0,0,3.6,9.7,west northwest,14.3,West,west northwest
2022/10/20,12.2,"Partly cloudy, partly rain",fine weather,9.7,70,1015.7,1021,1020.1,44,5.8,10.07,0,0,16.7,5.3,0,0,4,11.1,West,16.2,West,West
2022/10/21,15.3,partly cloudy,Partly cloudy with occasional rain,13.2,77,1015.8,1021,1017.3,49,4.7,9.75,0,0,20,10.3,0,0,2.5,6.4,West,9.2,West,west southwest
2022/10/22,16.1,fine weather,Sunny then sometimes cloudy,12.8,72,1007.8,1013,1010,39,9.6,12.86,0,0,21.1,11.6,0,0,3.3,6.5,West,10.5,southwest,West
2022/10/23,10.3,"Partly cloudy, then partly sunny",sunny shower,8.1,65,1006.7,1012.1,1010.1,43,1.3,6.31,0,0,14.2,4.7,0,0,3.8,8.8,West,12.2,West,west northwest
2022/10/24,7.3,sunny and rainy,fine weather,7.2,72,1010.1,1015.5,1012.8,44,9.2,12.85,0,0,12.6,2.9,0,0,3.8,10.8,west northwest,17,West,northwest
