date,Average temperature (Åé),Weather overview (daytime: 06:00-18:00),Weather overview (night: 18:00 to 06:00 the next day),Average vapor pressure (hPa),Average humidity (%),Average local pressure (hPa),Mean Sea Level Pressure (hPa),Minimum sea level pressure (hPa),Minimum relative humidity (%),Sunlight hours (hours),Total global solar radiation (MJ/áu),Total precipitation (mm),Maximum 10 minute precipitation (mm),Maximum temperature (ÅãC),Minimum temperature (ÅãC),Deepest snow cover (cm),Total snowfall (cm),Average wind speed (m/s),Maximum wind speed (m/s),Maximum wind speed (m/s),Maximum instantaneous wind speed (m/s),Maximum instantaneous wind speed (m/s),Maximum number of wind directions (16 directions)
2022/10/25,7.3,fine weather,fine weather,5.6,60,1020.5,1025.9,1021.2,22,10.4,14.22,0,0,13.9,2,0,0,2,6.1,east,9.2,east,North
2022/10/26,8.9,"Partly sunny, partly rainy, partly cloudy",fine weather,7.7,69,1023.7,1029.1,1027.3,42,7.2,10.19,0,0,15,3.4,0,0,2.3,4.8,south southeast,7,south southeast,north northwest
2022/10/27,10,partly cloudy,Sunny then cloudy with occasional rain,8.8,72,1020.2,1025.6,1024.2,50,5.8,10.24,0,0,15.4,3.7,0,0,2.1,4.8,southwest,7.3,west southwest,North
2022/10/28,12.4,Sunny and then a little rain,"Sunny after rain, sometimes cloudy",11,78,1017.7,1023,1021.5,48,7,11.45,1.5,0.5,17.6,7.8,0,0,2.2,4.6,southeast,7.1,southeast,south southeast
2022/10/29,10.5,"Sunny, then rainy, partly cloudy",Partially cloudy,10.2,81,1016,1021.3,1020.3,60,6.5,10.38,1,0.5,14,6.9,0,0,3.4,8.1,West,12,west northwest,west northwest
2022/10/30,11.4,fine weather,fine weather,10,76,1016.8,1022.1,1020.7,50,8.5,12.66,0,0,17.1,6.8,0,0,3.4,7.5,northwest,11.9,northwest,northwest
2022/10/31,11.1,fine weather,partly cloudy,10,76,1021.6,1027,1024.4,56,9.7,12.71,0,0,15.5,5.2,0,0,2.6,5.1,southeast,7.9,east southeast,east southeast
2022/11/1,13.5,Cloudy with occasional rain,"Cloudy after rain, sometimes sunny",10.9,72,1016.2,1021.5,1016,48,4.3,9.57,0.5,0.5,17.2,10.7,0,0,3.2,7.7,southeast,11.8,southeast,east southeast
2022/11/2,10.6,partly cloudy,Sunny then cloudy with occasional rain,9,72,1011.6,1016.9,1015.1,42,9,11.38,3.5,1,14.8,6.3,0,0,2.8,6.6,west northwest,10.7,West,west northwest
2022/11/3,7.6,rainy and sometimes cloudy,Cloudy then clear and snow,8.5,81,1006.8,1012.2,1010,57,0,1.66,9,1,9.4,5.5,0,0,2.5,6.4,north northwest,10.5,north northwest,northwest
2022/11/4,5,Sunny then sometimes cloudy with occasional showers,"Clear, then cloudy with occasional snow and sleet",5.4,63,1007.6,1013,1010,40,6.8,9.58,0,0,10,0.9,0,0,4.2,10.3,west northwest,16,west northwest,west northwest
2022/11/5,6,"Rain, sometimes cloudy, then fine, with sleet","Rain, sometimes cloudy, then clear",6.4,69,1010.8,1016.3,1014.8,44,5,9.69,0.5,0.5,10,0.1,0,0,3.4,9.1,West,13.5,West,west northwest
2022/11/6,6.7,fine weather,Partly cloudy after clear skies,6.8,71,1014.5,1019.9,1017.3,39,8.2,11.19,0,0,13,1.3,0,0,2.7,6.7,west northwest,11.2,West,west northwest
2022/11/7,6.1,Sunny then sometimes cloudy,Partially cloudy,6.7,73,1016.3,1021.7,1019.4,50,8,10.32,0,0,12.3,0.9,0,0,1.9,3.8,north northeast,5.4,west northwest,west southwest
2022/11/8,6.9,"Cloudy after rain, sometimes sunny",Partially cloudy,8.5,85,1012.6,1018,1015.6,69,2.3,4.39,3,1,11.8,2.6,0,0,2.1,4.7,west southwest,6.4,north northwest,north northwest
2022/11/9,8.7,partly cloudy,Partly cloudy after clear skies,7.7,71,1016.2,1021.6,1019.2,42,7.4,10.19,0,0,13.4,3.3,0,0,3,7.4,west northwest,10.8,West,west northwest
2022/11/10,12,Partly cloudy after clear skies,fine weather,8.3,58,1015.1,1020.4,1018.5,34,6.7,9,0,0,16.5,2.9,0,0,4.8,8.5,west northwest,12.7,West,west northwest
2022/11/11,5.7,fine weather,partly cloudy,5.8,65,1022.5,1028,1025.2,40,9.7,10.89,0,0,12.1,0.4,0,0,2.1,4.5,northwest,6.1,northwest,north northeast
2022/11/12,9.9,Partially cloudy,partly cloudy,9.4,76,1016.2,1021.5,1014.8,55,6.8,8.76,0,0,16,2.4,0,0,2.4,5.3,west southwest,8.1,South-southwest,north northeast
2022/11/13,13.4,Cloudy with occasional rain,Partly cloudy with occasional rain,12.4,79,999.4,1004.6,996.2,66,0,0.91,12,3.5,18.7,7.6,0,0,5.9,11.1,northwest,22.8,west southwest,northwest
2022/11/14,6.6,Sunny with occasional rain and cloudy,Partly sunny after cloudy,6.6,68,1008,1013.4,1008.3,52,4.5,8.84,1,0.5,9.5,4.9,0,0,4.4,8.3,northwest,15.1,northwest,northwest
2022/11/15,5.7,"Rain, partly cloudy, partly sunny",Partly sunny after cloudy,7.5,82,1005,1010.4,1008.4,65,1.1,4.17,0,0,9.5,2.4,0,0,2,5.8,West,9.6,west northwest,North
2022/11/16,3.8,Partly cloudy with occasional rain,"Sunny then sleet, sometimes cloudy",5.9,74,1006.9,1012.3,1008.8,43,6.4,9.44,0,0,9.1,0.2,0,0,3.6,9.5,West,16.1,West,west northwest
2022/11/17,4,"Partly cloudy, then occasional rain",fine weather,5.3,66,1017.2,1022.7,1017.2,44,8.1,10.5,0.5,0.5,8.7,0,0,0,3.2,8.8,west northwest,12.6,West,west northwest
2022/11/18,5.1,"Cloudy, sometimes sunny, then rain","Cloudy after rain, sometimes sunny",7.4,82,1018,1023.5,1020.2,58,2.6,4.89,8,3,10.3,-0.6,0,0,1.8,4.8,east southeast,6.2,southwest,north northeast
2022/11/19,6.9,fine weather,Sunny then cloudy with occasional rain,7.3,75,1019.6,1025,1020.2,47,8.6,9.95,0,0,12,2.7,0,0,3.1,6.6,northwest,11,northwest,northwest
2022/11/20,10.8,Partially cloudy,"Partly cloudy, then rain",9.7,75,1019.3,1024.7,1021.1,57,3.8,7.27,0,0,14,3.4,0,0,5.2,9.2,east southeast,14.4,southeast,east southeast
2022/11/21,12.6,sunny shower,"Sunny then rainy, sometimes cloudy",12.2,84,1011.8,1017,1013.8,69,3.8,6.52,0.5,0.5,16.4,8.3,0,0,2.4,5.2,east southeast,7.1,east southeast,South
2022/11/22,5.6,fine weather,fine weather,5.6,61,1015.2,1020.6,1013.7,40,5.4,7.65,1,0.5,11.8,-0.2,0,0,4.9,10.3,west northwest,16.8,West,west northwest
2022/11/23,4.9,partly cloudy,rainy and sometimes cloudy,6.3,71,1015.8,1021.3,1015.5,54,5.4,7.07,0,0,8.9,-1,0,0,3.2,6,east,9.7,east,east
2022/11/24,8.5,Cloudy with occasional rain,fine weather,8.5,77,1009.4,1014.8,1012.8,52,3.1,6.57,0,0,12.9,2.3,0,0,3,6.1,northwest,9.6,northwest,west northwest
2022/11/25,7.1,fine weather,Cloudy then sunny with a shower,6.8,68,1013.3,1018.7,1014.2,49,7.8,8.69,0,0,11.9,0.3,0,0,2.3,6.4,south southeast,10.6,South,north northeast
2022/11/26,10.8,"Partly cloudy after rain, accompanied by thunder","Cloudy after rain, sometimes sunny",9.5,73,1002.6,1007.9,1005.1,53,1,2.75,8.5,2,15,4.8,0,0,4.8,10.1,southwest,17.9,southwest,west northwest
2022/11/27,3.5,Partly cloudy with occasional sleet,Cloudy with occasional snow and occasional clear skies with sleet,5.3,67,1013.4,1018.9,1010,54,2.5,5.75,0,0,5.3,2.4,0,0,4.7,8.1,west northwest,12.8,West,west northwest
2022/11/28,7.2,"Rain, sometimes sunny, then cloudy, with sleet",partly cloudy rain,8,77,1018.5,1023.9,1017.8,68,1.4,4.56,0,0,10.9,1.4,0,0,2.2,5.2,east,7.6,east,east
2022/11/29,12.5,rainy and sometimes cloudy,"Cloudy after rain, sometimes sunny",11.6,79,1003.2,1008.5,1002.6,61,0.8,2.76,17.5,2,18.4,8.3,0,0,4,9.7,southwest,16.5,west southwest,southwest
2022/11/30,1.7,"Partly cloudy with occasional snow, with sleet",snow sometimes cloudy,5.2,73,1006.9,1012.3,1006.7,55,0.2,2.99,3,0.5,8.4,-4,6,6,5.8,9.7,west northwest,15.3,west northwest,northwest
2022/12/1,-3.1,snow sometimes cloudy,Clear skies after snow,4.3,89,1013.4,1019,1016.6,72,1.8,5.75,10,1.5,-1.4,-4.7,20,17,4.6,9.5,west northwest,16,west northwest,west northwest
2022/12/2,-3.5,"Partly sunny, partly snowy, partly cloudy",Cloudy with occasional snow,3.8,80,1017.9,1023.5,1018.6,51,8.2,9.23,2.5,1,-0.6,-8.1,23,3,2.6,6.1,West,8.5,West,north northwest
2022/12/3,0.9,Cloudy with occasional snow and sleet rain,"Sleet, occasional rain, cloudy, temporary snow",5.9,89,1013.8,1019.4,1012.3,70,0,2.36,11,1.5,4.2,-2.5,10,1,2.8,9.9,West,16.8,West,North
2022/12/4,-1.5,"Partly cloudy, partly snow",Snow sometimes sunny partly cloudy,4,71,1012.8,1018.4,1013.1,56,3.3,6.27,0.5,0.5,3.4,-5.1,1,1,5,9.4,west northwest,15.3,west northwest,west northwest
2022/12/5,-3.2,"Snow, partly cloudy, partly sunny","Partly cloudy, then sunny",3.7,78,1015.2,1020.8,1019.7,60,5.6,6.93,0,0,-0.8,-5.7,2,1,3.4,7.5,West,10.8,west southwest,west northwest
2022/12/6,-0.1,"Partly cloudy, then partly snow","Snow, partly cloudy, partly sunny with sleet",5,81,1009.7,1015.2,1012.1,58,0.4,3.98,0.5,0.5,2.8,-3.4,0,0,2,4,northwest,5.5,northwest,north northwest
2022/12/7,0.4,Cloudy with occasional snow,snow sometimes cloudy,5.6,89,1007.6,1013.1,1011.2,58,2,4.47,4.5,0.5,3.1,-1.8,3,7,2.6,6.9,west northwest,12,west northwest,west northwest
2022/12/8,-0.6,Sunny with occasional snow and cloudy,"Partly cloudy, partly snow",4.6,78,1011,1016.5,1013.5,50,5.3,7.61,3,1.5,2,-3.4,13,11,3.6,8.2,west northwest,13.4,west northwest,west northwest
2022/12/9,-0.3,"Partly cloudy, then snow, occasional sleet",Cloudy with occasional snow,5.3,88,1013.7,1019.2,1017.3,64,3.1,6.59,1.5,1,2.5,-3.7,5,1,1.6,4.3,west northwest,6.3,west northwest,east northeast
2022/12/10,0.2,Sunny with occasional snow and sleet rain,partly cloudy with sleet,5.5,89,1011.5,1017.1,1016,65,4.9,6.6,2,1,4.4,-3.7,0,0,2,6.8,West,10.5,west northwest,North
2022/12/11,-0.3,partly cloudy,partly cloudy,4.4,73,1011,1016.6,1014.6,54,3.8,4.77,0,0,3.3,-2.9,0,0,2.6,6,West,8.9,west northwest,northwest
2022/12/12,1.2,Partially cloudy,Cloudy,4.1,62,1016,1021.6,1018.4,37,5.7,7.97,0,0,4.4,-2.3,0,0,2.7,6.6,south southeast,11.7,south southeast,west northwest
2022/12/13,5.1,"Rain, partly cloudy, partly sunny",Cloudy after rain with occasional snow and sleet,6.7,77,1001.4,1006.8,1002.2,58,1.2,2.24,7,1,8.2,0.7,0,0,4.4,11,West,17.5,West,west northwest
2022/12/14,-3.2,snow sometimes cloudy,snow,3.9,81,998.7,1004.2,1000.6,59,0.1,2.45,8,1,1.7,-6.5,12,12,5.5,11.3,West,17.2,west northwest,west northwest
2022/12/15,-4.1,snow,snow,4,89,1004.2,1009.8,1008.3,68,0,2.83,20.5,1,-3.1,-5.4,32,22,5.9,11.5,West,18.2,West,west northwest
2022/12/16,-4.6,snow sometimes cloudy,snow,3.6,83,1009.3,1014.9,1010.7,57,2,5.16,4.5,1,-2.9,-5.6,33,10,4.9,10.6,West,17.7,West,west northwest
2022/12/17,-2.7,Snow sometimes sunny then cloudy,"Cloudy after snow, sometimes sunny with sleet",4.3,85,1008.3,1013.9,1001.2,68,2.6,5.34,8.5,1,1.2,-6.2,35,6,2.8,8.7,northwest,11.8,northwest,north northwest
2022/12/18,-5,cloudy sometimes sunny then snow,"After snow, partly cloudy and partly sunny",3.4,82,997.7,1003.2,1000.3,57,2.2,5.43,7.5,1,-1.7,-7.3,39,12,3.8,9.8,west northwest,15.9,west northwest,west northwest
2022/12/19,-6.3,"After snow, partly cloudy","Clear, then snow, sometimes cloudy",2.9,78,1007.1,1012.8,1006.3,58,7.2,8.5,1.5,1,-3.4,-9.1,41,2,3.3,7.4,west northwest,12.3,west northwest,west northwest
2022/12/20,-4.1,snow sometimes cloudy,snow sometimes cloudy,3.9,86,1012,1017.6,1016,67,2.4,5.68,2.5,0.5,-1.8,-8.8,34,4,3.5,7.9,west northwest,12.2,West,west northwest
2022/12/21,-0.1,"Partly cloudy, partly snow, partly sunny","Cloudy, sometimes sunny, then rain",4.6,76,1011.9,1017.4,1012.9,59,3.2,6.28,0,0,3,-3.1,32,0,2.3,6,east,8.8,east,west northwest
2022/12/22,5,rainy and sometimes cloudy,Rain with occasional clouds and sleet,7.6,87,992.1,997.5,983.4,75,0,1.6,17.5,2.5,6.6,2.8,26,0,7.6,11.9,east,18.8,east northeast,east
2022/12/23,3.3,Partly cloudy with sleet,Cloudy with occasional snow and sleet,5.6,72,979.9,985.2,983.6,54,0,3.49,0.5,0.5,5,1.6,9,0,4.1,8.8,west northwest,13.5,West,West
2022/12/24,2.9,"After rain, sleet, sometimes cloudy","Sunny, occasional snow, sleet, cloudy",5.8,78,986.5,991.8,984.3,59,3.6,5.21,4.5,1,5.4,0,8,5,5.7,10,north northwest,15.4,north northwest,north northwest
2022/12/25,2.8,Cloudy then sunny and sleet,Cloudy with occasional sleet,5.2,70,996.6,1002,999.8,55,7.7,8.24,0,0,4.8,1.5,6,0,7,9.8,northwest,15.3,northwest,northwest
2022/12/26,3.4,"Sleet, occasional cloudy, temporary rain and clear skies",Partly sunny with sleet,6,77,1004.3,1009.8,1003.8,62,3.1,4.34,0,0,5.7,-0.6,4,0,5.5,8.5,northwest,12.8,northwest,northwest
2022/12/27,2.3,Partially cloudy,"Clear, then cloudy, then snow",5.4,76,1013.8,1019.3,1014.9,53,4,6.18,0,0,6.3,-1.4,2,0,3.1,7.7,northwest,10.9,west northwest,north northwest
2022/12/28,1,Cloudy then sleet sometimes sunny,"Snow, partly cloudy, partly sunny",5.8,88,1012.3,1017.9,1013.3,74,0.2,2.34,0.5,0.5,4,-0.6,5,4,1.8,4.2,northwest,6.3,north northwest,North
2022/12/29,-3,"Snow, partly cloudy, partly sunny","Clear, then snow, partly cloudy",4.3,87,1009.5,1015.1,1012.8,65,2.3,5.45,12,1.5,-0.2,-6.5,23,18,3.8,10,west northwest,15.5,west northwest,west northwest
2022/12/30,-2.8,snow sometimes cloudy,cloudy with occasional snow,4.3,87,1014.5,1020.1,1018.4,74,2.3,5.35,0.5,0.5,-0.7,-6.8,19,3,2.8,5.8,west northwest,8.6,west northwest,west northwest
2022/12/31,0.9,Cloudy,After cloudy snow with occasional sleet,4.8,75,1014.2,1019.7,1016.5,62,0.9,4.82,0,0,3.1,-2.7,17,0,2.8,6.7,West,10.8,West,West
2023/1/1,-0.8,Snow with occasional clouds and sleet,snow,4.9,84,1008.5,1014,1012.3,58,1.3,4.65,3,0.5,2.9,-5.6,16,6,4,8.3,west northwest,13.9,west northwest,west northwest
2023/1/2,-6.6,snow sometimes cloudy,snow,3.1,83,1008.9,1014.6,1012.7,56,1.8,5.91,4.5,0.5,-4.9,-7.9,22,8,4.7,10.3,west northwest,15.7,west northwest,west northwest
2023/1/3,-6,snow,snow sometimes cloudy,3.5,89,1007.7,1013.3,1011.7,75,0.1,3.61,10.5,1,-4.5,-7.4,37,17,4,6.9,West,10.2,west northwest,west northwest
2023/1/4,-6.6,"Snow, partly cloudy, partly sunny",snow sometimes sunny,3.1,82,1008.5,1014.1,1011.5,64,2.2,5.59,2,0.5,-3.7,-10.6,35,1,3.8,8,west northwest,13.2,west northwest,west northwest
2023/1/5,-3.2,"Snow, partly cloudy, partly sunny",cloudy with occasional snow,3.8,79,1011.4,1017,1016,57,1.1,4.9,3.5,1,-1.3,-8.6,38,9,3.1,7,west northwest,11.2,West,west northwest
2023/1/6,-1.5,"Partly cloudy, then occasional snow","Snow, partly cloudy, partly sunny",4.2,77,1012,1017.6,1015.2,56,2.5,5.98,0.5,0.5,1.8,-3.8,31,0,2.5,6.5,west northwest,9.6,west northwest,west northwest
2023/1/7,-2,fine weather,Partially cloudy,4,77,1008.5,1014.1,1012.5,52,8.1,8.52,0,0,2.4,-6.7,27,2,1.7,3.4,northwest,4.7,west northwest,northwest
2023/1/8,-2.1,fine weather,cloudy sometimes sunny then snow,3.7,72,1012.7,1018.3,1015.5,50,8.1,8.96,0,0,3,-6.7,24,0,2.5,5.6,west northwest,8.2,west northwest,west northwest
2023/1/9,-0.6,"After snow, sleet, sometimes cloudy",fine weather,5,85,1008.3,1013.8,1010.3,67,1.9,5.11,3.5,0.5,3.4,-4.8,24,4,3.1,6.8,north northwest,10.9,northwest,northwest
2023/1/10,-3.8,fine weather,Sunny then cloudy with occasional snow,3.1,68,1010.6,1016.2,1012.1,48,8.4,9.33,0,0,-0.2,-6.6,20,0,4.2,9.5,northwest,13.1,northwest,west northwest
2023/1/11,0.7,Cloudy with occasional snow and sleet,Partly cloudy with sleet,5.3,81,1013.2,1018.8,1017.4,68,1.2,3.7,0.5,0.5,5.2,-5.5,20,1,2.3,4.9,West,7.2,west northwest,north northeast
2023/1/12,3.6,partly cloudy,"Partly sunny, partly rainy, partly cloudy",5.9,75,1015,1020.5,1017.6,52,8,8.82,0,0,8,-0.6,17,0,2.8,5.5,west northwest,7.8,west northwest,west northwest
2023/1/13,5.7,Cloudy with occasional rain,partly cloudy rain,7.5,82,1010.4,1015.8,1009.9,57,3.8,6.47,0,0,11.5,-1,15,0,2.2,5.2,West,8,west southwest,north northeast
2023/1/14,3.3,Cloudy after rain with sleet,"Partly cloudy, then snow",6.5,83,1003.8,1009.2,1007.3,63,0,2.55,6,1,5.1,0.7,11,0,3.3,7.8,northwest,11.6,northwest,northwest
2023/1/15,-1.5,snow,Clear skies after snow,5.1,93,1008.6,1014.2,1011.4,64,0,2.71,14,1,0.8,-2.1,40,33,2.2,5.1,east,9.1,east,east
2023/1/16,-2.4,"Clear, then cloudy, then snow","Clear, then cloudy, then snow",3.8,73,1007.6,1013.1,1010.4,54,5.9,8.78,5.5,1,0.9,-6.5,43,3,4.5,7.3,northwest,11,northwest,northwest
2023/1/17,-4.9,Cloudy with occasional snow,Temporary snow after cloudy,3.3,79,1016,1021.7,1018.2,62,1.9,6.24,0,0,-2.2,-7,34,0,2.4,8,west northwest,10.4,west northwest,west northwest
2023/1/18,-3.8,"Partly cloudy, partly snow",Sunny then sometimes cloudy,3.4,73,1014.3,1019.9,1017.1,56,3.5,7.5,0,0,0.6,-7.6,29,0,3,8.1,northwest,12.6,north northwest,northwest
2023/1/19,-3.2,"Clear, then snow, sometimes cloudy","After snow, sometimes sleet, sometimes cloudy, partly sunny",3.9,77,1015.5,1021.2,1015.1,50,5.2,7.52,1.5,0.5,1.2,-9.8,26,2,2.2,3.9,east,6.3,east northeast,east
2023/1/20,0.8,"Clear, then cloudy, then snow","Cloudy with occasional sleet, then some snow",5.2,80,1003.7,1009.2,1001,49,4.6,6.86,9,1,2.9,-1.9,35,11,3.6,8.2,east southeast,12.6,east southeast,east
2023/1/21,-3.8,"Snow, partly cloudy, partly sunny",Snow Temporarily cloudy then sometimes sunny,3.6,77,1013.6,1019.2,1001.8,53,5,8.74,1.5,0.5,0.1,-7,35,3,6,12,northwest,17.9,west northwest,west northwest
2023/1/22,-6.9,"Snow, partly cloudy, partly sunny",Sunny and sometimes snow,3,82,1019.1,1024.9,1023.3,68,4.3,7.86,1,0.5,-3.3,-11.6,34,2,2.7,7.1,west northwest,11.3,west northwest,west northwest
2023/1/23,-5.2,Sunny then cloudy with occasional snow,"Cloudy after snow, sometimes sunny",3.3,77,1012.3,1017.9,1004.7,49,3.4,6.55,5,1.5,0.2,-11.4,39,8,3.1,11.5,West,16.4,West,east northeast
2023/1/24,-7.9,cloudy with occasional snow,Partly cloudy with occasional snow,2.6,72,998.8,1004.4,1002,57,0,4.81,1,0.5,-3,-13,37,0,4.3,9.7,northwest,14.4,northwest,northwest
2023/1/25,-10.6,snow sometimes cloudy,snow,2,73,999.6,1005.3,1002.8,50,0.9,5.71,7,0.5,-8.7,-13.1,44,12,6.4,11.9,west northwest,18.4,west northwest,west northwest
2023/1/26,-6.5,cloudy then snow sometimes sunny,"Snow, sometimes cloudy, then clear",2.7,73,1006.4,1012,1007.9,55,3.4,8.02,3,0.5,-4,-9.2,47,3,5.4,10.7,west northwest,18.1,northwest,west northwest
2023/1/27,-6.7,Cloudy with occasional snow,"Clear, then snow, partly cloudy",3,81,1003.6,1009.2,1005,60,1,6.87,0,0,-2.7,-10.4,40,0,2.2,4,northwest,5.7,northwest,north northwest
2023/1/28,-8.1,snow,snow sometimes cloudy,2.8,84,999.6,1005.2,1003.5,66,1.3,6.71,3.5,0.5,-6.2,-10.2,43,7,4.3,9.3,West,13.8,West,west northwest
2023/1/29,-9,"Snow, partly cloudy, partly sunny",fine weather,2.4,78,1006.5,1012.2,1007.4,63,5.7,8.79,1.5,0.5,-6.3,-11.4,43,1,3.2,7.5,West,11,West,west northwest
2023/1/30,-6.4,partly cloudy,Snow sometimes sunny partly cloudy,2.9,75,1006.2,1011.9,1009.1,52,5,8.09,0.5,0.5,-1.9,-12.7,39,2,2.2,6.2,west northwest,10.3,west northwest,north northwest
2023/1/31,-5.3,snow sometimes cloudy,snow sometimes cloudy,3.4,82,1009.3,1015,1012.4,53,2.8,7.68,1.5,0.5,-2.7,-7.9,40,4,3.4,10.2,west northwest,15.2,west northwest,west northwest
2023/2/1,-1.5,Cloudy then snow Occasional sleet rain,"Cloudy with temporary snow, then clear with sleet",4.9,88,1000.5,1006,996.3,71,0.2,3.1,10.5,1.5,3.1,-6.9,47,10,3.9,12.9,northwest,19.1,northwest,east
2023/2/2,-5,snow sometimes sunny,snow sometimes cloudy,3.1,74,1008.3,1013.9,1004,52,5.2,8.95,0,0,-0.9,-8.8,44,2,5.6,10.5,West,16.2,west northwest,west northwest
2023/2/3,-6,snow sometimes cloudy,cloudy with occasional snow,3.2,81,1013.2,1018.9,1017.9,63,4.2,8.8,1,0.5,-3.2,-9.9,43,2,2.4,6.5,west northwest,10.1,West,West
2023/2/4,-4.2,"Cloudy after snow, sometimes sunny",Partly cloudy with occasional snow,3.5,77,1011.9,1017.5,1015.4,63,4.7,9.56,0,0,-1,-7.1,41,0,2.2,5.3,west northwest,7.8,west northwest,west northwest
2023/2/5,-3.3,Partly cloudy with occasional snow,Temporary sleet after snow Temporarily cloudy,3.9,81,1014.7,1020.3,1018.6,54,5.9,9.99,0.5,0.5,1.2,-8.8,42,4,2.7,7.4,West,10.5,West,west northwest
2023/2/6,0.1,Partially cloudy,"Clear, then occasional snow, partly cloudy",5,82,1013,1018.6,1016.7,55,7.2,10.21,2,1,3.5,-3.9,44,3,2.3,5,northwest,8.8,northwest,West
2023/2/7,-2.2,fine weather,Partially cloudy,3.6,70,1015.8,1021.4,1019.4,43,9.1,11.64,0,0,2,-7.6,40,1,2.5,6.1,West,8.4,West,northwest
2023/2/8,-4.1,"Clear, then cloudy, then snow",Sunny and sometimes snow,3,67,1014,1019.6,1017.6,42,7.3,11.67,0,0,1.1,-8.9,39,1,1.8,5,north northwest,7.3,north northwest,north northwest
2023/2/9,-5.2,Sunny then sometimes cloudy,partly cloudy,2.8,69,1019.6,1025.3,1019.2,41,5.4,10.61,0,0,-1.7,-8.3,39,0,3.2,7.4,north northwest,11.6,northwest,west northwest
2023/2/10,-3.2,Temporary snow after cloudy,Cloudy with occasional snow and clear skies,3.6,73,1020.1,1025.7,1019.8,51,0,5.8,0,0,0,-9.1,38,0,2.5,5.5,east northeast,8.7,east,east
2023/2/11,0.3,"Clear, then cloudy with occasional snow and sleet","Cloudy with occasional clear skies, followed by snow and sleet",5.1,82,1015.8,1021.4,1019.4,60,3.7,9.81,0,0,4.1,-4.9,38,0,1.7,3.8,West,5.5,West,west northwest
2023/2/12,1.4,Cloudy with occasional sleet,partly cloudy,5.6,82,1013.7,1019.2,1017.4,65,3.2,8.86,4.5,1,4.3,-1.7,38,4,2.9,7.1,West,10.6,west northwest,north northwest
2023/2/13,-0.7,Cloudy then sunny with occasional snow,fine weather,4.5,79,1008.3,1013.9,1010,56,3.1,8.18,0,0,2.9,-3.8,33,1,2.2,5.9,northwest,9.2,northwest,northwest
2023/2/14,-3.3,"Clear, then cloudy, then snow","Snow, sometimes cloudy, then clear",3.5,74,1003.5,1009.1,1005.7,43,5.8,10.71,4.5,1,-0.3,-5.6,42,11,3.2,5.6,northwest,8.2,West,northwest
2023/2/15,-6.3,"Partly sunny, cloudy after snow",Sunny and sometimes snow,2.7,71,1014.9,1020.6,1013.8,45,7.9,12.4,0,0,-2.5,-10.2,42,0,3.1,6.4,northwest,9.2,northwest,northwest
2023/2/16,-4.7,"Snow, partly cloudy, partly sunny","Partly cloudy, partly snow",3.4,76,1020.3,1026,1024.8,58,4.6,10.77,0,0,0,-11.2,38,0,3.1,9,West,14,west northwest,West
2023/2/17,1.3,"Partly cloudy, sleet after snow","Sleet, sometimes cloudy, partly sunny",5.6,84,1016.9,1022.4,1019.5,60,1.3,7.62,1.5,0.5,5.2,-2.7,36,0,2.4,5.8,West,8.2,west southwest,West
2023/2/18,3.8,fine weather,partly cloudy,5.3,68,1013.5,1019,1015.7,37,8.9,13.46,0,0,7.8,0.8,32,0,3,8.3,West,11.9,West,West
2023/2/19,1.7,Partly cloudy with sleet,Temporary sleet rain after snow Occasionally cloudy,5.9,86,1000.7,1006.1,998.2,61,0,5.17,3,1,4.7,0.5,30,2,2,7,southeast,11.3,southeast,east southeast
